"Date","Victoria.St.West","Archibald.Park","Beach.Rd","Carlton.Gore.Rd","Curran.St","Dominion.Rd","East.Coast.Rd","Franklin.Rd","GI.TO.TAMAKI.DR.SECTION.1","Grafton.Bridge","Grafton.Gully","Grafton.Rd","Great.South.Rd","Highbrook","Hopetoun.St","Karangahape.Rd","Lagoon.Dr","Lake.Rd","Lake.Rd.New","Leigh.Rd.Shared.Path","Lightpath","Mangere.Bridge","Mangere.Safe.Routes","Nelson.St","NW.Cycleway.Kingsland","NW.Cycleway.TeAtatu","Oceanview.Rd","Orewa.Path","Ormiston.Rd","Quay.St.Spark.Arena","Quay.St.Eco.Display.Classic","Queen.St.Pukekohe","Rankin.Ave","Saint.Lukes.Rd","SH20A.Shared.Path","SW.Shared.Path","Symonds.St","Tamaki.Dr","TeAtatu.Peninsula","TeWero.Bridge.Bike","Twin.Streams","Upper.Harbour","Upper.Queen.St","Waterview.Unitec"
"Thursday,  8 August 2019",94,4,214,196,119,279,90,NA,6,408,343,105,58,35,143,304,298,17,190,0,462,170,37,627,767,363,62,109,52,561,772,11,32,125,21,109,246,557,119,283,39,40,182,114
"Friday,  9 August 2019",77,4,203,164,98,209,52,NA,9,349,272,98,78,26,125,252,207,12,182,4,360,132,12,475,603,331,40,140,40,461,686,7,22,128,14,52,207,511,107,218,33,33,162,69
"Saturday, 10 August 2019",65,13,157,83,251,130,108,NA,31,206,227,38,64,30,51,246,207,6,255,36,247,480,25,210,444,513,50,332,35,556,637,5,23,122,33,162,127,690,96,405,82,355,126,208
"Sunday, 11 August 2019",73,24,124,70,257,98,78,NA,51,149,221,36,46,25,45,155,198,16,216,25,163,262,17,147,318,423,34,341,39,487,534,4,17,91,19,177,106,773,68,346,105,171,75,161
"Monday, 12 August 2019",102,10,231,262,130,334,78,NA,19,496,372,110,55,36,140,369,227,14,203,2,592,160,18,631,850,392,73,26,35,717,872,5,14,157,18,112,274,644,135,338,25,39,191,107
"Tuesday, 13 August 2019",118,7,275,273,205,346,92,NA,27,592,481,83,65,36,160,457,249,11,318,2,656,181,18,725,1029,511,89,234,53,823,1069,6,21,208,24,117,337,804,167,439,47,57,230,152
"Wednesday, 14 August 2019",102,1,303,342,176,387,93,NA,22,651,487,100,62,39,187,490,281,16,396,4,668,225,19,787,1070,567,91,246,47,889,1195,16,13,202,22,162,343,803,175,411,58,77,296,178
"Thursday, 15 August 2019",135,9,301,336,224,392,109,NA,26,667,480,116,98,35,169,472,297,16,385,10,680,260,27,808,1117,588,112,253,31,919,1248,15,32,207,36,191,333,893,170,503,88,118,301,192
"Friday, 16 August 2019",134,3,260,267,198,337,107,NA,23,564,436,99,71,26,134,460,253,17,383,11,635,188,22,706,994,507,111,224,45,860,1249,10,29,196,36,154,271,879,148,449,39,81,297,172
"Saturday, 17 August 2019",71,12,61,90,209,136,143,NA,73,222,179,49,63,27,61,190,372,23,342,38,272,530,33,243,457,542,58,384,51,622,836,10,37,116,45,216,131,714,82,398,105,280,140,262
"Sunday, 18 August 2019",42,14,70,30,65,54,41,NA,11,111,96,19,54,27,29,109,83,11,101,9,63,111,9,71,145,198,27,57,22,205,287,3,3,35,10,85,57,314,17,106,32,73,75,81
"Monday, 19 August 2019",104,9,331,315,201,435,99,NA,34,636,545,107,89,36,192,504,309,23,360,7,796,250,20,883,1313,789,113,275,41,1007,1298,7,27,258,41,190,366,950,224,484,107,105,262,237
"Tuesday, 20 August 2019",105,4,300,301,162,333,91,NA,NA,575,459,94,69,36,190,415,310,15,310,16,646,180,6,731,1139,603,77,221,32,807,1074,7,26,217,37,125,309,826,172,414,62,86,234,170
"Wednesday, 21 August 2019",127,3,262,275,146,353,73,NA,NA,558,380,91,65,39,168,433,254,12,307,9,610,184,18,736,983,469,95,197,39,752,1109,10,22,197,28,142,296,700,139,406,45,80,237,152
"Thursday, 22 August 2019",112,1,199,206,124,282,48,NA,NA,438,316,102,59,35,135,326,178,10,168,0,433,96,13,536,713,294,64,153,45,548,887,4,19,164,14,80,228,530,111,281,33,40,217,77
